device,config,model,query_id,dataset,warmup,ttft_ms,e2e_ms,t_retrieval_ms,t_prefill_ms,t_decode_ms,n_tokens,peak_rss_mb,t_query_start,t_query_end,energy_gross_j,energy_idle_subtracted_j,answer_text,retrieved_ids,is_mock,em,f1,faithfulness,accuracy_harmonic
phone,exp1_baseline,gemma-2-2b-it,squad-0,squad,1,21481.77,21641.344,37.011,21444.759,53.1915,3,298.3,1783126518.612118,1783126540.0808756,,,The Denver Broncos.,wiki-0|wiki-4|wiki-3833|wiki-2|wiki-6476,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-1,squad,1,22277.565,22379.088,32.667,22244.898,50.7614,2,298.3,1783126540.081588,1783126562.0132544,566.4493,551.6279,Carolina Panthers,wiki-0|wiki-3833|wiki-4|wiki-2|wiki-3825,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-2,squad,1,20064.238,20778.524,34.564,20029.674,59.5238,12,298.3,1783126562.0133965,1783126583.7791848,282.4868,267.7775,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",wiki-0|wiki-4|wiki-3826|wiki-3833|wiki-3830,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-3,squad,1,23125.952,23293.55,29.977,23095.975,55.8659,3,298.3,1783126583.7793303,1783126606.5951104,91.8568,76.4379,The Denver Broncos.,wiki-0|wiki-3|wiki-3833|wiki-2|wiki-3825,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-4,squad,1,17035.685,17084.465,26.339,17009.346,48.7805,1,298.3,1783126606.5952518,1783126624.2388647,437.1014,425.1779,Gold,wiki-0|wiki-1|wiki-4|wiki-3826|wiki-10288,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-5,squad,0,16929.667,17528.47,4.202,16925.466,59.8802,10,298.3,1783126624.2390077,1783126642.4560184,186.7016,174.3906,"The theme of Super Bowl 50 was the ""golden anniversary"".",wiki-0|wiki-1|wiki-4|wiki-3|wiki-3826,0,0,0.4,0.875,0.549
phone,exp1_baseline,gemma-2-2b-it,squad-6,squad,0,22978.299,23252.272,3.615,22974.684,68.4932,4,298.3,1783126642.456169,1783126667.8486545,375.507,358.3467,"Sunday, February 3, 2019",wiki-3830|wiki-3826|wiki-0|wiki-3789|wiki-3833,0,0,0.3333,1.0,0.5
phone,exp1_baseline,gemma-2-2b-it,squad-7,squad,0,24869.417,25040.845,33.89,24835.526,57.1429,3,298.3,1783126667.8488455,1783126694.9666827,242.765,224.4387,American Football Conference,wiki-6476|wiki-2673|wiki-2844|wiki-1985|wiki-784,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-8,squad,0,17595.644,18280.576,14.999,17580.645,68.4932,10,298.3,1783126694.9668179,1783126714.0648568,186.1166,173.2102,"The theme of Super Bowl 50 was the ""golden anniversary"".",wiki-0|wiki-1|wiki-4|wiki-3|wiki-3826,0,0,0.4,0.875,0.549
phone,exp1_baseline,gemma-2-2b-it,squad-9,squad,0,24091.643,24267.082,3.806,24087.838,58.4795,3,298.3,1783126714.0650024,1783126738.4291246,433.3765,416.9112,American Football Conference,wiki-6476|wiki-1985|wiki-2673|wiki-3898|wiki-6477,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-10,squad,0,22767.864,23041.837,6.921,22760.943,68.4932,4,298.3,1783126738.4292655,1783126762.8414028,,,"Sunday, February 3, 2019",wiki-3830|wiki-3826|wiki-3833|wiki-0|wiki-4,0,0,0.3333,1.0,0.5
phone,exp1_baseline,gemma-2-2b-it,squad-11,squad,0,23381.865,23854.838,3.486,23378.378,67.5676,7,298.3,1783126762.841559,1783126786.707274,,,The Denver Broncos won Super Bowl 50.,wiki-0|wiki-3|wiki-4|wiki-3833|wiki-2,0,0,0.5,0.8333,0.625
phone,exp1_baseline,gemma-2-2b-it,squad-12,squad,0,22799.338,23621.256,4.725,22794.613,68.4932,12,298.3,1783126786.7074122,1783126811.608277,682.0278,665.1997,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",wiki-0|wiki-4|wiki-3830|wiki-3826|wiki-3833,0,0,0.9565,1.0,0.9778
phone,exp1_baseline,gemma-2-2b-it,squad-13,squad,0,22816.372,22999.299,21.759,22794.613,60.9756,3,298.3,1783126811.6084266,1783126835.890159,69.6987,53.2891,"Santa Clara, California.",wiki-0|wiki-4|wiki-3830|wiki-3826|wiki-3833,0,0,0.8,1.0,0.8889
phone,exp1_baseline,gemma-2-2b-it,squad-14,squad,0,20307.452,20490.379,5.439,20302.013,60.9756,3,298.3,1783126835.8902953,1783126856.5474496,553.3045,539.3443,Super Bowl L,wiki-1|wiki-0|wiki-3826|wiki-3|wiki-3833,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-15,squad,0,24524.304,24591.418,22.585,24501.718,67.1141,1,298.3,1783126856.547617,1783126881.5782533,61.5279,44.6122,2015,wiki-0|wiki-3|wiki-3830|wiki-2|wiki-3833,0,1,1.0,1.0,1.0
