device,config,model,query_id,dataset,warmup,ttft_ms,e2e_ms,t_retrieval_ms,t_prefill_ms,t_decode_ms,n_tokens,peak_rss_mb,t_query_start,t_query_end,energy_gross_j,energy_idle_subtracted_j,answer_text,retrieved_ids,is_mock,em,f1,faithfulness,accuracy_harmonic
laptop,C3,gemma-2-2b-it,squad-0,squad,1,10916.17,11159.852,62.218,10853.952,44.545,5,9069.9,1783119233.815898,1783119244.975996,356.0703,42.13,Denver Broncos,wiki-3833|wiki-2|wiki-3831|wiki-3830|wiki-7547|wiki-3836|wiki-9834|wiki-0|wiki-3|wiki-3825,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-1,squad,1,12222.368,12522.605,29.196,12193.172,49.8312,5,9237.4,1783119245.2606454,1783119257.7834377,389.4338,37.1601,Carolina Panthers,wiki-3833|wiki-2|wiki-3830|wiki-7547|wiki-3836|wiki-0|wiki-3825|wiki-3829|wiki-3|wiki-5053,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-2,squad,1,10581.702,12154.839,46.751,10534.951,79.8997,19,9403.9,1783119258.0827045,1783119270.2377164,389.8332,47.9054,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",wiki-3826|wiki-0|wiki-4|wiki-3|wiki-10073|wiki-3833|wiki-3830|wiki-1|wiki-3825|wiki-3829,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-3,squad,1,10587.496,10963.793,71.228,10516.268,50.0662,6,9498.2,1783119270.5457695,1783119281.5097628,356.6368,48.2131,The Broncos.,wiki-3|wiki-3833|wiki-2|wiki-5053|wiki-3829|wiki-7547|wiki-3831|wiki-3836|wiki-3826|wiki-3830,0,0,0.6667,1.0,0.8
laptop,C3,gemma-2-2b-it,squad-4,squad,1,12034.475,12358.413,41.243,11993.232,51.0436,5,9619.8,1783119281.7951279,1783119294.1537092,401.9295,54.2752,Gold.,wiki-0|wiki-5051|wiki-3826|wiki-3833|wiki-3829|wiki-10073|wiki-3825|wiki-1367|wiki-10074|wiki-2,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-5,squad,0,12819.742,13265.571,38.051,12781.691,55.1269,7,9793.6,1783119294.451846,1783119307.7175972,410.7885,37.615,The golden anniversary.,wiki-3823|wiki-0|wiki-4|wiki-3826|wiki-3833|wiki-3829|wiki-3825|wiki-10073|wiki-7547|wiki-2,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-6,squad,0,13178.934,13959.2,47.595,13131.339,58.4627,12,9932.8,1783119308.0080392,1783119321.9674203,432.0847,39.399,"February 7, 2016",wiki-0|wiki-3833|wiki-1700|wiki-11961|wiki-2518|wiki-11959|wiki-4455|wiki-3830|wiki-3826|wiki-3789,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-7,squad,0,10791.427,11207.018,38.498,10752.929,57.7523,6,10056.7,1783119322.2786226,1783119333.484698,346.8617,31.628,American Football Conference,wiki-6476|wiki-2673|wiki-2844|wiki-9836|wiki-3475|wiki-2513|wiki-11356|wiki-3898|wiki-3831|wiki-6477,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-8,squad,0,13974.691,14454.601,33.679,13941.012,58.01,7,10029.8,1783119333.779621,1783119348.2326221,449.2911,42.7195,The golden anniversary.,wiki-3823|wiki-0|wiki-4|wiki-3826|wiki-3833|wiki-3829|wiki-3825|wiki-10073|wiki-7547|wiki-2,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-9,squad,0,11194.853,11668.605,11.685,11183.168,80.6844,5,10204.6,1783119348.5348155,1783119360.2021506,377.0706,48.8615,AFC North,wiki-6476|wiki-1985|wiki-2673|wiki-3898|wiki-6477|wiki-2844|wiki-9453|wiki-10273|wiki-11297|wiki-1106,0,0,0.0,1.0,0.0
